filepath,predicted_class,probability,inference_time_s
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/920b2a087ad20b3545d43429ae9a9c07.jpg,16, 0.9842, 0.05203
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/6753deeffe7dd91f253889aa50329b74.jpg,16, 0.6886, 0.05385
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/696c6187d01578b21ccf37bfc7bbd1aa.jpg,16, 0.9764, 0.06593
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/4a3f71f6c46fef14d09f13f22b45d807.jpg,16, 0.9985, 0.19084
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/eae65ac12c924f40b7cda0564049b596.jpg,16, 0.8989, 0.08630
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/9d392546cc1a1e7c041251eb0695199c.jpg,16, 0.9830, 0.07732
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/62c8ecd6fd4e79c2d143c066f0500f23.jpg,16, 0.9395, 0.04689
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/ee4d36db9780b2f7045ac7254e5a9d0b.jpg,13, 0.5999, 0.06427
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/36766eb4dedbeba34db51f8a5556a5bf.jpg,16, 0.7567, 0.04631
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/7735776f310ea3591d6a0712a6fbce55.jpg,16, 0.6465, 0.05596
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/20f56163fde7e479dfd2729d1fc49924.jpg,16, 0.9441, 0.05694
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/984a4451b52dd9aec87dbc92b7f148a4.jpg,16, 0.9964, 0.05598
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/83c9c8bce4d11a9d9c5e795903c554a2.jpg,16, 0.9476, 0.06034
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/0108496fbcb7b7f61d5e6d43619c55ba.jpg,16, 0.8267, 0.05831
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/442afc756e93f9508e7e763a0a2a5dce.jpg,16, 0.9538, 0.04858
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/eed3ebeab43c74fa4229abc1a00252d0.jpg,16, 0.9534, 0.05945
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/5180e74302f8357c6c6a231ddbef0e2c.jpg,16, 0.8415, 0.04663
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/35e3d1d3af80238b8179c1d409451360.jpg,16, 0.8288, 0.04635
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/059328fee212fce8f295d6617ec1a26e.jpg,16, 0.7398, 0.09583
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/c99a343e58599ccc3be85cb4a885181c.jpg,9, 0.6034, 0.08960
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/c58812dd1f06011167d3066d284c30b0.jpg,16, 0.9496, 0.06892
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/3a9dec0742499f8d39e6d9ff55056d26.jpg,16, 0.7066, 0.06058
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/d5850673e002ba1d55fd4794238db68e.jpg,16, 0.9848, 0.06967
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/28191ad425b1224a4df01ba290869b9f.jpg,16, 0.7967, 0.04216
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/12541b629a7a2fb48ecb47482054b0bc.jpg,16, 0.8023, 0.03715
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/f2d6a8f543fe1c40ec56c1e89a833ed0.jpg,16, 0.9969, 0.06476
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/cc961fe3e37568ba573192417e38269d.jpg,16, 0.8474, 0.05699
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/b40ff68eb86d096fc5cd6f2d668bc847.jpg,16, 0.9495, 0.05158
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/70fadac4f386c737a88bca8c56b9706e.jpg,9, 0.5155, 0.03647
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/c9604574d2bc162c934944bb8c66e624.jpg,16, 0.9804, 0.04354
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/fa9a110ad4b9fd6dd3bb8f444c5010b2.jpg,16, 0.9717, 0.03485
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/0937bfa1dd3eefb27bd7e778ece91743.jpg,16, 0.9592, 0.08143
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/b0f4b7b0e0c557b5f698e0b35c215f3d.jpg,16, 0.9706, 0.12431
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/a98e1c089d11bad837fd1b93338ab2e9.jpg,16, 0.8246, 0.07895
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/0351d93b91632e44e42b9bc980b138a8.jpg,16, 0.9889, 0.06641
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/ae9746ec3cd55f98294dfd542e91fa76.jpg,16, 0.6807, 0.05611
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/71da05dc753d279e6315cf29c702b855.jpg,16, 0.8885, 0.09931
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/8a669a12e1fb09379ca34ead61468d56.jpg,16, 0.8469, 0.12409
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/3f14020812023875663650ab75385c38.jpg,16, 0.9299, 0.06512
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Pyrrhocoris apterus/06ea508a702a4944f2bb1cc8788f4b4f.jpg,16, 0.5420, 0.04685
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/c4bec9fb28742821fd7efe80500cb07e.jpg,16, 0.9921, 0.03860
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/5ed2266aa23525c9a4914835266d1da8.jpg,16, 0.9981, 0.05002
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/e506ba89fe1848f64f3f7b82ada4d374.jpg,16, 0.9898, 0.03778
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/17e85201671cd8fb99b100dc608088aa.jpg,16, 0.9967, 0.03809
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/519e563a0da092d1cb9f41f649d1dbfe.jpg,16, 0.9961, 0.04413
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/3b68e6c2e0e9441acff8e5adf14be544.jpg,16, 0.9922, 0.06306
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/be3cf500605cf4004c4521ab74701122.jpg,16, 0.9785, 0.08232
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/e1b724d3cce45ecd0da29355cca76f1e.jpg,16, 0.9959, 0.04181
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/5c700ddb46fa4844e73799d7beeac5f9.jpg,16, 0.9881, 0.03927
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/45df7055411835f1e96bba98f7168f98.jpg,16, 0.9430, 0.08716
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/dd4f6eab1f3db9be8563a31f43eb8ba3.jpg,16, 0.9991, 0.08104
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/5a7cb74b1ff9ac764014ca98f455641b.jpg,16, 0.9840, 0.09115
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/209c9ec07ec9dcc69aadfcc7388dabbf.jpg,16, 0.9967, 0.07067
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/a735af50ff8bbf8aec733489586f7678.jpg,16, 0.9969, 0.10792
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/69d232622aec4c8fd3d1cd787a6d7faf.jpg,16, 0.9921, 0.06973
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/fa11ed7ce57e6668a14938bf8be30fcd.jpg,16, 0.9954, 0.04148
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/c0ad934dd38b347649e6af6700f4324d.jpg,16, 0.9957, 0.06055
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/94b403d8e491508a5250c99062a1434f.jpg,16, 0.9945, 0.04271
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/94f3821b0a94c016ba2721445009f028.jpg,16, 0.9949, 0.04428
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/9d834cb7251587de4bbdadb8c7bc5629.jpg,16, 0.9968, 0.06054
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/8c9178508e4466e62e5185ad8b858f50.jpg,16, 0.9944, 0.04458
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/222adcdcb814a52b07aeabe1f7c41da0.jpg,16, 0.9937, 0.03424
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/249bca4aac31226be83553ef2a36ab6a.jpg,16, 0.6922, 0.03854
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/1d9eecdc918aa9c61cfccfeeeae1c42d.jpg,16, 0.9910, 0.03789
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/6f993d719bb9c6cec86f872fedd6c628.jpg,16, 0.9845, 0.06899
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/06523df13f085370ccb35f33c55e6fec.jpg,16, 0.8827, 0.04970
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/6a9f37d9c10122cf31d40332e3bb1242.jpg,16, 0.9760, 0.06223
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/516f715aef02734faf686c14d19fb94e.jpg,16, 0.9980, 0.05711
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/d9b26ddf26c36a2e0482fd5c2105347e.jpg,16, 0.9964, 0.06324
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/97189c3c0bc74bf400cbd8ede9abd561.jpg,0, 0.5109, 0.05508
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/baec5daf3a9a12afea955734134a7d33.jpg,16, 0.8528, 0.05699
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/d854adf258d2055b6290b169c5fbf688.jpg,16, 0.9960, 0.05107
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/f30760dbbc51ea3579fa5871640df057.jpg,0, 0.6081, 0.04048
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/636508fd90f298997e5ecd3e0d6b8868.jpg,16, 0.9919, 0.04346
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/a564f4286af921d2010b781339dde656.jpg,16, 0.9939, 0.06022
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/3e2d6e1c8f15d76c3854f596a644cbde.jpg,16, 0.9965, 0.06272
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/5ce69458dc1195afbbacb5ce95b57418.jpg,16, 0.9960, 0.05608
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/9927195e2dacb36a0bad33b55b65204d.jpg,16, 0.9963, 0.03975
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/b937841063d0513e10c0a2f7a3dd640f.jpg,16, 0.9729, 0.04265
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/cb6859944e5a5a2a1ead2e35998d1f58.jpg,16, 0.9978, 0.04161
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/646305028fb729e0edf66646224b4207.jpg,16, 0.9978, 0.05103
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/36eb199b1099c0fb21218c20c0f408b7.jpg,16, 0.9737, 0.04848
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/99aa209b7848278a32408d0f8da038c5.jpg,16, 0.9921, 0.07656
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/bf0959d8700cdc326b88cd34f5f72ca1.jpg,16, 0.9936, 0.11774
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Tringa nebularia/2f387bba477e3cbfe2713c3d858a17f3.jpg,16, 0.9779, 0.19667
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/2ba95c874da5c474bf59ef22dc3f1b9e.jpg,16, 0.9709, 0.05313
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/9359cc559a1e962003bb80455a3078ad.jpg,16, 0.9863, 0.03611
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/6f338108c4faf55bc5e7525e196dfe73.jpg,16, 0.8762, 0.05655
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/e8fbb3a306b9a6e496d33b1f19841f5d.jpg,16, 0.9958, 0.04671
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/6f7a5e8b2202c6dea7583e04e1067cc5.jpg,16, 0.9461, 0.03924
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/c3ebc6f50ca4e5cbd1a67809fd22c60a.jpg,16, 0.9870, 0.03736
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/66ca7c8d7ee62036d531b229f3f01e17.jpg,16, 0.9407, 0.04278
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/7726244d9830f0b9a53c60c06f88660d.jpg,16, 0.9921, 0.04480
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/355952c546e0ff86240413a49e55cb44.jpg,16, 0.9894, 0.04027
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/261f95722b1b6cd76f1eece4907f6d04.jpg,16, 0.9955, 0.04148
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/300536a9591f560d186eb73bfa6e27e0.jpg,16, 0.9956, 0.04892
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/61c445bd3789ba922cef981c41d2276b.jpg,16, 0.9261, 0.06377
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/c2bf29dffa0db99ed618b2971a053db6.jpg,16, 0.9853, 0.05252
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/2416cde5dc2420d75a0c063c07f662f0.jpg,16, 0.9914, 0.06790
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/4d372a376a37a779ca161776eee22a3a.jpg,16, 0.9288, 0.05575
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/fe62ec17e70c9e5ef5f820525b6c3d5d.jpg,16, 0.9508, 0.05118
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/a7c9fbdfed470040dd518cf8a5df0f48.jpg,16, 0.9993, 0.03651
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/601d0d7ecb9f3b26e6ff2996430df9b6.jpg,16, 0.9839, 0.04087
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/81705b170919ae382d7d847f702f3ca1.jpg,16, 0.9741, 0.03745
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/af743ffbc10204d66460a244a2c3634d.jpg,16, 0.9768, 0.04562
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/8a452bb460a934d82b707cc7a17512b2.jpg,16, 0.8783, 0.03951
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/e30e8a7cd54626ec8908db1cebaa828f.jpg,16, 0.9406, 0.05467
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/e7c041c799f208de9efeaed81b7fb26e.jpg,16, 0.9796, 0.14128
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/41477a42eba0f4450572169b693749a5.jpg,1, 0.8270, 0.17206
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/2b535a1ca4b8d5abb6263f4d29966a41.jpg,16, 0.9791, 0.03595
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/df47068001af5e0ab97fe034eee93073.jpg,16, 0.7872, 0.03942
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/c3a696420bbc477bd22b156d8eca4ae8.jpg,16, 0.9785, 0.06363
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/daebec949c0ac0c16573e2e440639044.jpg,16, 0.9028, 0.05599
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/fbc64c729867b3873a2a4bde4d70f760.jpg,16, 0.9517, 0.03567
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/557a613b97dacf1c6cf668089a724682.jpg,16, 0.9925, 0.04080
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/afc3cedd3e3f2671c9d8ca44575f66ba.jpg,16, 0.9253, 0.03578
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/2232f53b6129e8a14f4ec80e4e2e2734.jpg,16, 0.4587, 0.03861
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/5a7292a5ff02e55f54bbfe71e64e11a1.jpg,16, 0.9952, 0.04295
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/25e275d28815156e357f2dbd9412ec3e.jpg,2, 0.5597, 0.03937
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/d7c2908b20ec9305e4dc442888e41c1d.jpg,16, 0.8585, 0.04249
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/4addfe20437311f52055555a95744907.jpg,16, 0.9048, 0.04937
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/73cdb55d204ccde0f1256e204d19eb5f.jpg,16, 0.4894, 0.04544
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/eeaeb6e47b0385682055904bc820debd.jpg,16, 0.8948, 0.04100
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/4d1bcee0119bb8fbc24739cb8b3c9861.jpg,16, 0.8341, 0.03785
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/54e5fc0c8489244b2c9a1b989b9133d5.jpg,16, 0.9676, 0.04630
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/06a160a77d60db1f259a2566b382e75e.jpg,16, 0.9543, 0.05035
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/da75c0ac92ecdf4f04ad6a5d60de4f20.jpg,16, 0.9685, 0.04290
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/352ba2cc04533a652cdec7a085157e9a.jpg,16, 0.9588, 0.04894
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/ed456b8da87019c9a105231990feb137.jpg,16, 0.9604, 0.04827
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/9abf7b046963542658795bf8e52b7fa6.jpg,16, 0.8320, 0.06943
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/9e01d1bb09754f660fa24d63cc739bd8.jpg,16, 0.8889, 0.04910
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/a9b646641432228a9c93c35a5ccc805d.jpg,16, 0.9883, 0.05085
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/d7d9d58ab7d9c67056f0a98468728f95.jpg,16, 0.9790, 0.04171
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/ee7272a1c5ab4b71c4a643a9c8a21e1b.jpg,16, 0.9838, 0.04875
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/6314d4737394f6962b72e22f5437b793.jpg,16, 0.4922, 0.05328
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/acac479993bad8e16b7112a277d10940.jpg,16, 0.9439, 0.05436
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/cf6a77eb68fd1ce7a1a1bc0a18097d3e.jpg,16, 0.9648, 0.04610
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/5070a926551cc8b5487de0c22108a60e.jpg,16, 0.9954, 0.06080
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Other/Picus viridis/ad3c41500ef5917a60404f834be3c47b.jpg,16, 0.9356, 0.05007
